thrashold,time,id,eatable,poisonous
0.8,9055.76751279831,6912,0,1
0.8,9055.76751279831,7295,0,1
0.8,9055.76751279831,7367,0,1
0.8,9055.76751279831,7600,0,1
0.8,9055.76751279831,13218,0,1728
0.8,9055.76751279831,7483,0,1
0.8,9055.76751279831,7401,0,1
0.8,9055.76751279831,7706,0,1
0.8,9055.76751279831,7739,0,1
0.8,9055.76751279831,14513,0,1296
0.8,9055.76751279831,16221,16,0
0.8,9055.76751279831,15376,768,0
0.8,9055.76751279831,16175,0,36
0.8,9055.76751279831,16140,48,0
0.8,9055.76751279831,15663,288,0
0.8,9055.76751279831,16206,0,32
0.8,9055.76751279831,15854,192,0
0.8,9055.76751279831,16046,2848,808
0.8,9055.76751279831,16093,48,0
0.8,9055.76751279831,16228,0,8
